round,numLabeled,accuracy,method,framework
0,10,0.1187,TPCRP,Framework3
1,20,0.1037,TPCRP,Framework3
2,30,0.1329,TPCRP,Framework3
3,40,0.1149,TPCRP,Framework3
4,50,0.0933,TPCRP,Framework3
5,60,0.1001,TPCRP,Framework3
0,10,0.0857,Random,Framework3
1,20,0.1072,Random,Framework3
2,30,0.146,Random,Framework3
3,40,0.0863,Random,Framework3
4,50,0.0975,Random,Framework3
5,60,0.0998,Random,Framework3
0,10,0.1005,Margin,Framework3
1,20,0.1045,Margin,Framework3
2,30,0.1021,Margin,Framework3
3,40,0.1045,Margin,Framework3
4,50,0.1,Margin,Framework3
5,60,0.1011,Margin,Framework3
0,10,0.0994,Entropy,Framework3
1,20,0.1094,Entropy,Framework3
2,30,0.1,Entropy,Framework3
3,40,0.0789,Entropy,Framework3
4,50,0.1,Entropy,Framework3
5,60,0.1001,Entropy,Framework3
0,10,0.5349000096321106,TPCRP,Framework2
1,20,0.6410999894142151,TPCRP,Framework2
2,30,0.6556000113487244,TPCRP,Framework2
3,40,0.6699000000953674,TPCRP,Framework2
4,50,0.6694999933242798,TPCRP,Framework2
5,60,0.6793000102043152,TPCRP,Framework2
0,10,0.384799987077713,Random,Framework2
1,20,0.5309000015258789,Random,Framework2
2,30,0.6065999865531921,Random,Framework2
3,40,0.6302000284194946,Random,Framework2
4,50,0.64410001039505,Random,Framework2
5,60,0.6467999815940857,Random,Framework2
0,10,0.3774000108242035,Margin,Framework2
1,20,0.5813000202178955,Margin,Framework2
2,30,0.6344000101089478,Margin,Framework2
3,40,0.6567000150680542,Margin,Framework2
4,50,0.6674000024795532,Margin,Framework2
5,60,0.6651999950408936,Margin,Framework2
0,10,0.37040001153945923,Entropy,Framework2
1,20,0.38609999418258667,Entropy,Framework2
2,30,0.4934000074863434,Entropy,Framework2
3,40,0.531499981880188,Entropy,Framework2
4,50,0.5333999991416931,Entropy,Framework2
5,60,0.5641000270843506,Entropy,Framework2
0,10,0.1053,TPCRP,Framework1
1,20,0.1146,TPCRP,Framework1
2,30,0.1323,TPCRP,Framework1
3,40,0.1064,TPCRP,Framework1
4,50,0.1003,TPCRP,Framework1
5,60,0.1503,TPCRP,Framework1
0,10,0.0971,Random,Framework1
1,20,0.1001,Random,Framework1
2,30,0.1044,Random,Framework1
3,40,0.1513,Random,Framework1
4,50,0.1011,Random,Framework1
5,60,0.1,Random,Framework1
0,10,0.1189,Margin,Framework1
1,20,0.1254,Margin,Framework1
2,30,0.1032,Margin,Framework1
3,40,0.1196,Margin,Framework1
4,50,0.122,Margin,Framework1
5,60,0.1031,Margin,Framework1
0,10,0.0984,Entropy,Framework1
1,20,0.0987,Entropy,Framework1
2,30,0.1189,Entropy,Framework1
3,40,0.1226,Entropy,Framework1
4,50,0.1402,Entropy,Framework1
5,60,0.1146,Entropy,Framework1
